INFO;SymPer;Pip/Y;Trd/Y;RF=MaxPrf/Y/DD;PF;DD/LastDD;iDD;MO/Spred;SD;MO/SD;iRF=MaxPrf/iDD;W/L*W%;  = ;
2
3
